controller,scenario,seed,success,collision,steps,path_length,min_clearance,near_misses,overrides,adaptation_lag,mean_progress
liquid_online,u_trap,420071,1,0,52,16.64000000000001,0.029477051293296863,4,0,8,0.20477797211798615
liquid_supervisor,u_trap,420071,1,0,68,21.760000000000012,0.5436338565620167,0,2,8,0.1551066544930606
fixed_policy,u_trap,420088,1,0,41,13.120000000000005,0.5862326093109524,0,0,8,0.25850888018431667
liquid_online,u_trap,420088,1,0,46,14.72000000000001,0.06588554601139024,4,0,8,0.2284549764627017
liquid_supervisor,u_trap,420088,1,0,52,16.64000000000001,0.401961634877894,0,2,8,0.20477876319072294
fixed_policy,u_trap,420105,1,0,61,19.52000000000001,0.5141871240698028,0,0,8,0.17314638079970443
liquid_online,u_trap,420105,1,0,40,12.800000000000002,0.17734364681016718,4,0,8,0.2668991044744031
liquid_supervisor,u_trap,420105,1,0,47,15.040000000000008,0.46378395705071024,0,3,8,0.22728371730222807
fixed_policy,u_trap,420122,1,0,41,13.120000000000003,0.438693931448997,0,0,8,0.25891051282548505
liquid_online,u_trap,420122,1,0,78,24.96000000000002,0.1723096143997151,2,0,8,0.13478512048676378
liquid_supervisor,u_trap,420122,1,0,77,24.64000000000002,0.35518445756203015,0,1,8,0.137074243731108
fixed_policy,u_trap,420139,1,0,80,25.600000000000012,0.7292128540123766,0,0,8,0.13186841207669614
liquid_online,u_trap,420139,1,0,54,17.280000000000005,0.18429099873020122,4,0,8,0.19561617698655753
liquid_supervisor,u_trap,420139,1,0,97,31.040000000000013,0.3752342907882171,0,1,8,0.10821730497300189
fixed_policy,u_trap,420156,1,0,48,15.360000000000007,0.22312649036089077,2,0,8,0.2218948953294734
liquid_online,u_trap,420156,1,0,44,14.08,0.24764457291263348,2,0,8,0.23948007564126456
liquid_supervisor,u_trap,420156,1,0,42,13.439999999999998,0.39155030883662917,0,1,8,0.2500149379657834
fixed_policy,u_trap,420173,1,0,64,20.480000000000008,0.5803419223327926,0,0,8,0.16682954627302599
liquid_online,u_trap,420173,1,0,49,15.680000000000007,0.3567122824064463,0,0,8,0.21654772846023673
